H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Status
5907,1654,6527,6912,416,399,1180,D2
1434,671,2131,52,14,107,565,D2
719,93,465,353,11,59,1240,D2
10853,703,2064,852,150,57,125,D2
1767,409,678,1517,39,2612,4089,D2
921,160,116,294,8,16,664,D2
1814,361,1551,1424,40,42,114,D2
2053,297,1010,851,125,464,2582,D2
52,63,223,32,25,979,948,D2
10566,4074,17964,12033,755,512,743,D2
91,119,101,16,1,364,1085,D2
8230,1081,2097,992,64,1561,3525,D2
111,174,609,15,3,390,410,D2
120,26,87,14,23,92,1729,D2
6046,2326,14115,4385,759,1050,2285,D2
6335,1353,14727,3644,744,1387,7515,D2
127,375,4113,4321,145,1630,5032,D2
380,300,1279,79,6,289,215,D2
8317,1610,2410,3998,368,3720,13052,D2
11291,2241,12455,2479,243,423,1206,D2
8404,295,2344,1030,101,142,782,D2
8921,2330,5699,5236,354,1611,1336,D2
137,370,1386,2369,98,384,5373,D2
1368,27,51,1142,31,3084,2224,D2
5776,895,2077,4708,393,3823,7230,D2
4974,1143,2093,783,83,1525,406,D2
1028,343,1657,6348,128,2728,2174,D2
76,50,77,21,4,983,6487,D2
1924,1811,6517,2912,249,1063,2252,D2
9475,2052,7556,3143,141,31,2774,D2
3853,528,2063,1015,155,3242,7598,D2
13270,2228,5913,3963,316,3238,7070,D2
2802,764,1775,489,52,812,2325,D2
2554,598,1886,1056,57,315,1873,D2
2157,2067,10219,4901,457,328,3046,D2
7920,178,1419,3679,152,4310,3692,D2
109,107,447,337,5,17,172,D2
643,39,157,208,19,98,299,D2
2301,1895,9419,2323,84,100,189,D2
3347,1078,3318,1718,211,1783,6912,D2
2086,815,546,985,139,64,624,D2
6146,773,2027,2270,131,3307,4884,D2
2600,387,1545,666,77,375,2835,D2
2756,139,341,2027,93,2004,7271,D2
1243,1429,9219,1836,111,685,2027,D2
164,98,94,474,30,2384,5514,D2
6834,1048,8605,9595,578,1975,13186,D2
2607,1024,2740,8886,270,373,326,D2
15298,3899,19534,8498,686,3016,5692,D2
8195,830,3531,855,134,964,2734,D2
3869,363,663,1501,151,692,1864,D2
9160,2764,9704,4030,224,1046,6596,D2
5637,2835,14073,3471,446,787,662,D2
2627,827,2755,6676,333,1065,2033,D2
12938,2612,12916,9896,495,804,4701,D2
389,152,1039,1106,10,603,9114,D2
10081,5692,25039,11617,710,1127,1345,D2
2719,998,6063,1081,65,51,2008,D2
1016,1122,2173,1323,216,440,8133,D2
14673,1945,8064,1026,596,2170,4535,D2
2609,1001,2633,493,72,161,1723,D2
504,382,1125,31,36,400,3726,D2
1270,1554,10559,1156,314,809,6394,D2
5885,1461,4382,1389,306,1969,1795,D2
2359,167,222,325,88,73,895,D2
2327,460,1548,268,42,351,317,D2
3581,1657,4702,4882,176,1659,4485,D2
4484,419,3386,184,15,20,85,D2
1554,381,2096,2578,62,2030,4114,D2
5905,2064,6929,7573,524,4579,3385,D2
7739,1930,8010,6265,371,7066,8274,D2
74,115,1878,435,38,438,2539,D2
1208,56,421,216,21,76,5537,D2
16922,2672,8659,2763,650,822,2715,D2
3505,637,2447,2381,99,5,464,D2
5263,2730,19543,3103,388,2761,9313,D2
1743,763,1483,1685,140,26,95,D2
3122,2511,6480,1308,126,866,4174,D2
957,393,796,1450,78,1056,4952,D2
243,90,552,148,27,150,217,D2
14265,6203,28660,17134,697,2454,415,D2
5213,479,765,4351,91,2044,6990,D2
540,848,3087,2246,142,2588,6202,D2
6575,4431,28118,10225,765,507,553,D2
39,7,23,142,2,443,4067,D2
4495,853,986,552,68,158,646,D2
8889,1785,6242,6233,236,72,1417,D2
13297,3675,14572,13798,592,1165,2003,D2
9419,3384,13954,7540,518,2154,3655,D2
4734,589,1451,537,35,7,2073,D2
5574,1883,5157,1746,284,720,589,D2
2059,795,4295,1113,86,1724,832,D2
4391,2077,3237,3940,160,460,4110,D2
275,336,857,449,44,77,253,D2
2505,688,1773,1579,229,712,1836,D2
8607,1562,5540,3427,436,1868,16844,D2
5138,756,2953,229,153,615,3868,D2
6030,2831,10420,8976,396,151,3355,D2
1624,591,2958,836,70,2010,5149,D2
591,1117,3442,301,34,144,352,D2
8778,449,1694,389,58,18,101,D2
3441,1692,6426,1910,461,655,6062,D2
8955,2623,9499,10308,568,2450,10865,D2
11834,1810,5649,2992,347,1139,1071,D2
15810,3827,19621,13511,1058,1696,838,D2
607,120,267,282,50,644,4037,D2
2055,601,1702,111,60,362,1239,D2
4574,2430,10819,1821,220,187,421,D2
841,704,1247,1927,55,53,2890,D2
1075,281,3021,8586,269,452,2284,D2
3703,389,1682,1699,195,2101,11066,D2
18158,2563,3853,6563,622,572,6651,D2
5949,804,5080,2811,117,8,331,D2
2201,547,3874,3318,149,994,6247,D2
13518,2769,10510,9731,478,1595,5283,D2
1416,873,1586,1163,163,189,3286,D2
982,590,2809,1950,123,404,2408,D2
3096,1390,8833,2178,89,70,1376,D2
430,574,1737,590,159,1175,1249,D2
5501,3230,19700,11119,847,1418,1045,D2
604,1586,6126,5088,571,489,10742,D2
12401,4914,13300,14939,598,103,201,D2
13072,1988,10790,3018,734,1409,7662,D2
1646,180,801,362,18,23,1333,D2
1695,277,820,123,69,1656,1631,D2
13606,3787,15067,8695,696,2168,362,D2
1360,414,352,546,108,60,1292,D2
4424,2658,15847,11302,626,3329,10568,D2
4516,794,7323,361,87,3976,5488,D2
5065,1223,6445,1378,406,3311,5759,D2
344,31,219,626,67,122,2046,D2
3555,451,2183,593,100,262,140,D2
7941,1412,2270,1825,172,137,764,D2
4185,533,5220,7952,135,430,1670,D2
3850,1063,5394,1307,198,1536,6732,D2
